0	9.0	0	0	0	1.0
0	9.0	0	1.0	0	1.0
0	16.0	0	0	0	1.0
0	16.0	0	0	0	1.0
0	16.0	0	0	0	1.0
502.0	16.0	50.0	12.0	0	0
0	16.0	0	0	0	1.0
42.0	6.0	0	3.0	0	0
70.0	3.0	0	3.0	0	0
0	12.0	0	3.0	0	1.0
17.0	2.0	0	2.0	0	0
32.0	1.0	0	3.0	0	0
175.0	9.0	0	7.0	0	0
0	2.0	0	2.0	0	1.0
78.0	5.0	0	4.0	0	0
75.0	14.0	5.0	2.0	0	0
11.0	2.0	2.0	1.0	0	0
0	11.0	0	1.0	0	1.0
56.0	11.0	1.0	2.0	1	0
0	0	0	1.0	0	1.0
7.0	1.0	0	2.0	0	0
0	0	0	1.0	0	1.0
0	2.0	0	1.0	0	1.0
15.0	2.0	0	2.0	0	0
1.0	1.0	0	2.0	0	0
0	0	0	0	0	0
0	0	0	3.0	0	1.0
6.0	1.0	0	5.0	0	0
0	0	0	1.0	0	1.0
285.0	8.0	0	4.0	0	0
3.0	2.0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
3.0	1.0	0	1.0	0	0
2.0	1.0	0	5.0	0	0
0	0	0	0	0	0
80.0	5.0	0	2.0	0	0
0	1.0	0	1.0	0	1.0
4.0	3.0	0	0	0	0
2.0	1.0	0	0	0	0
0	0	0	0	0	0
21.0	3.0	0	1.0	0	0
1.0	1.0	0	0	0	0
1.0	1.0	0	2.0	0	0
15.0	1.0	0	2.0	0	0
0	0	0	0	0	0
0	3.0	0	0	0	1.0
10.0	1.0	0	3.0	0	0
0	3.0	0	0	0	1.0
0	0	0	0	0	0
0	0	0	1.0	0	1.0
9.0	2.0	0	2.0	0	0
0	2.0	0	0	0	1.0
1.0	1.0	0	0	0	0
0	0	0	4.0	0	1.0
1.0	1.0	0	0	0	0
1.0	1.0	0	1.0	0	0
0	0	0	0	0	0
87.0	5.0	0	2.0	0	0
0	0	0	4.0	0	1.0
0	0	0	0	0	0
0	11.0	0	0	0	1.0
0	1.0	0	0	0	1.0
1.0	1.0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	3.0	0	0	0	1.0
8.0	1.0	0	3.0	0	0
117.0	1.0	0	3.0	0	0
0	3.0	0	0	0	1.0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	1.0	0	1.0
2.0	2.0	0	0	0	0
1.0	1.0	0	1.0	0	0
1.0	1.0	0	0	0	0
36.0	12.0	2.0	1.0	0	0
2.0	2.0	0	0	0	0
3.0	1.0	0	1.0	0	0
29.0	1.0	0	2.0	0	0
1.0	1.0	0	1.0	0	0
22.0	3.0	0	4.0	0	0
4.0	1.0	0	1.0	0	0
14.0	2.0	2.0	3.0	0	0
0	0	0	2.0	0	1.0
0	0	0	0	0	0
6.0	2.0	0	2.0	0	0
227.0	14.0	31.0	2.0	0	0
0	14.0	0	0	0	1.0
0	0	0	8.0	0	1.0
2796.0	23.0	891.0	6.0	0	0
0	0	0	1.0	0	1.0
25.0	2.0	0	2.0	0	0
5.0	1.0	0	2.0	0	0
3.0	2.0	0	0	0	0
210.0	5.0	30.0	3.0	0	0
7.0	1.0	0	5.0	0	0
0	0	0	1.0	0	1.0
0	0	0	0	0	0
10.0	2.0	0	2.0	0	0
0	2.0	0	0	0	1.0
2.0	2.0	0	0	0	0
39.0	5.0	0	12.0	0	0
0	5.0	0	0	0	1.0
0	2.0	0	2.0	0	1.0
2.0	2.0	0	0	0	0
1.0	1.0	0	0	0	0
0	0	0	0	0	0
1068.0	14.0	103.0	3.0	0	0
4.0	1.0	0	1.0	0	0
0	0	0	0	0	0
0	1.0	0	0	0	1.0
1.0	1.0	0	0	0	0
1.0	1.0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
199.0	12.0	0	7.0	0	0
0	0	0	1.0	0	1.0
439.0	47.0	0	11.0	0	0
0	47.0	0	0	0	1.0
0	2.0	0	1.0	0	1.0
6.0	2.0	2.0	1.0	0	0
1.0	1.0	0	0	0	0
0	11.0	0	2.0	0	1.0
153.0	11.0	12.0	2.0	0	0
162.0	8.0	0	5.0	0	0
0	0	0	1.0	0	1.0
11.0	2.0	0	1.0	0	0
496.0	20.0	0	12.0	0	0
2.0	1.0	0	1.0	0	0
0	1.0	0	2.0	0	1.0
1.0	1.0	0	0	0	0
0	0	0	1.0	0	1.0
0	0	0	2.0	0	1.0
1.0	1.0	0	0	0	0
0	1.0	0	2.0	0	1.0
1.0	1.0	0	0	0	0
1735.0	44.0	0	34.0	0	0
21.0	2.0	0	2.0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	3.0	0	1.0
0	0	0	1.0	0	1.0
0	4.0	0	2.0	0	1.0
219.0	9.0	0	6.0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
6.0	1.0	0	3.0	0	0
0	0	0	1.0	0	1.0
0	0	0	0	0	0
3.0	1.0	0	2.0	0	0
30.0	5.0	0	4.0	0	0
1.0	1.0	0	11.0	0	0
0	6.0	0	0	0	1.0
0	6.0	0	0	0	1.0
42.0	6.0	3.0	2.0	0	0
177.0	7.0	0	5.0	0	0
9.0	1.0	0	12.0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1.0	1.0	0	0	0	0
1.0	1.0	0	0	0	0
1.0	1.0	0	0	0	0
0	0	0	1.0	0	1.0
0	0	0	6.0	0	1.0
0	0	0	0	0	0
0	1.0	0	7.0	0	1.0
71.0	1.0	0	4.0	0	0
1.0	1.0	0	0	0	0
21.0	3.0	0	3.0	0	0
0	0	0	0	0	0
39.0	2.0	0	4.0	0	0
0	2.0	0	1.0	0	1.0
0	2.0	0	0	0	1.0
1.0	1.0	0	0	0	0
2.0	2.0	0	0	0	0
0	4.0	0	0	0	1.0
5187.0	72.0	513.0	13.0	0	0
9.0	4.0	0	1.0	0	0
0	2.0	0	0	0	1.0
0	2.0	0	0	0	1.0
346.0	7.0	40.0	3.0	0	0
0	0	0	2.0	0	1.0
1.0	1.0	0	1.0	0	0
1.0	1.0	0	2.0	0	0
0	0	0	0	0	0
0	0	0	3.0	0	1.0
35.0	1.0	0	2.0	0	0
